id,category,pas1 parent,pas2 parent,pas1 child,pas2 child,gap1,gap2,gap1 percentage,gap2 percentage,diffrence vote in parent,diffrence vote in child,Path Parent
930083,kec,3943,364,3946,364,-3,0,0%,0%,3579,3582,6728/10646
83474,kec,1282,7334,1283,7335,-1,-1,0%,0%,-6052,-6052,12920/12921
44821,kel,10272,5837,10282,5837,-10,0,0%,0%,,,42385/44643/44820
83471,kec,2029,209,2031,211,-2,-2,0%,-1%,1820,1820,6728/10646
70921,kec,4570,2570,4575,2602,-5,-32,0%,-1%,2000,1973,69268/70873
82277,kec,2621,52,2624,49,-3,3,0%,6%,2569,2575,81877/928081
25804,kec,49100,39545,49169,39598,-69,-53,0%,0%,9555,9571,25405/25746
42024,kec,43377,28079,43454,28151,-77,-72,0%,0%,15298,15303,41863/41965
45912,kel,1666,763,1665,763,1,0,0%,0%,,,42385/45561/45905
32579,kec,10891,27858,10911,27869,-20,-11,0%,0%,-16967,-16958,26141/32566
7340,kec,5460,2514,5474,2502,-14,12,0%,0%,2946,2972,6728/7240
13322,kec,4394,34201,4410,34297,-16,-96,0%,0%,-29807,-29887,12920/13317
82815,kec,1308,199,1313,195,-5,4,0%,2%,1109,1118,81877/82724
83462,kec,2724,111,2738,111,-14,0,-1%,0%,2613,2627,6728/10646
54947,kec,22467,17471,22587,17485,-120,-14,-1%,0%,4996,5102,54020/54925
13555,kec,3196,311,3215,311,-19,0,-1%,0%,2885,2904,12920/13554
67124,kec,2579,365,2600,385,-21,-20,-1%,-5%,2214,2215,65702/67035
25810,kel,8747,8219,8743,8230,4,-11,0%,0%,,,25405/25746/25804
78886,kec,931,34,939,27,-8,7,-1%,21%,897,912,78203/78862
31793,kel,2653,5622,2652,5622,1,0,0%,0%,,,26141/31685/31791
77932,kec,3306,3724,3345,3778,-39,-54,-1%,-1%,-418,-433,77085/928079
71557,kec,2082,6905,2111,6910,-29,-5,-1%,0%,-4823,-4799,69268/71437
42328,kel,4525,1936,4524,1932,1,4,0%,0%,,,41863/42325/42326
42260,kel,22715,8980,22710,8973,5,7,0%,0%,,,41863/42221/42259
50645,kec,4574,53833,4642,53833,-68,0,-1%,0%,-49259,-49191,42385/50532
3280,kec,1352,12701,1375,12783,-23,-82,-2%,-1%,-11349,-11408,1/3205
41779,kabko,138319,49784,138320,49784,-1,0,0%,0%,,,32676
52953,kec,21796,29910,22229,29953,-433,-43,-2%,0%,-8114,-7724,51578/52936
64920,kel,58,,58,,0,,0%,#DIV/0!,,,928068/64709/930101
83256,kel,174,2,174,12,0,-10,0%,-500%,,,81877/83194/83252
74232,kel,580,1869,580,193,0,1676,0%,90%,,,72551/74179/74229
82890,kec,1466,411,1540,584,-74,-173,-5%,-42%,1055,956,81877/82850
7577,kel,1006,13,1006,23,0,-10,0%,-77%,,,6728/7438/7569
80217,kel,159,4,159,3,0,1,0%,25%,,,78203/80144/80204
84967,kel,523,639,523,689,0,-50,0%,-8%,,,51578/51579/51686
6087,kel,44,43,44,40,0,3,0%,7%,,,1/5920/6081
29790,kel,1845,966,1845,908,0,58,0%,6%,,,26141/29369/29784
87151,kel,353,60,353,57,0,3,0%,5%,,,81877/82724/82725
55886,kel,1365,69,1365,72,0,-3,0%,-4%,,,55065/928072/55882
3659,kel,10,196,10,192,0,4,0%,2%,,,1/3205/3633
51046,kel,1475,821,1475,830,0,-9,0%,-1%,,,42385/50735/51042
29827,kel,2348,1026,2348,1016,0,10,0%,1%,,,26141/29369/29825
80205,kel,310,113,310,112,0,1,0%,1%,,,78203/80144/80204
81141,kec,1786,803,1886,703,-100,100,-6%,12%,983,1183,78203/81104
18678,kel,358,581,358,584,0,-3,0%,-1%,,,17404/18643/18662
50413,kec,37383,45246,42023,40752,-4640,4494,-12%,10%,-7863,1271,42385/50331
18676,kel,1196,754,1196,751,0,3,0%,0%,,,17404/18643/18662
44296,kel,5858,1393,5858,1398,0,-5,0%,0%,,,42385/43993/44293
47762,kec,18468,6479,21677,7003,-3209,-524,-17%,-8%,11989,14674,42385/47634
50610,kel,173,1931,173,1926,0,5,0%,0%,,,42385/50532/50604
77772,kel,98,415,98,414,0,1,0%,0%,,,77085/77578/77770
47718,kec,22044,8727,26607,8760,-4563,-33,-21%,0%,13317,17847,42385/47634
62447,kel,267,480,267,481,0,-1,0%,0%,,,61965/62333/62432
